datetime,dust,mq135,mq131,mq4,temperature,pressure,altitude
Wed Sep 27 13:14:38 2023,2138,0,0,16,22.8,96364,420.95
Wed Sep 27 13:14:38 2023,2147,0,0,14,22.9,96367,420.95
Wed Sep 27 13:14:38 2023,2134,0,0,17,22.8,96370,421.73
Wed Sep 27 13:14:38 2023,2149,0,0,16,22.8,96371,420.26
Wed Sep 27 13:14:39 2023,2139,0,0,17,22.8,96367,421.82
Wed Sep 27 13:14:39 2023,2218,0,0,14,22.9,96368,421.21
Wed Sep 27 13:14:39 2023,2146,0,0,16,22.9,96367,420.95
Wed Sep 27 13:14:39 2023,2133,0,0,16,22.9,96365,420.87
Wed Sep 27 13:14:39 2023,2147,0,0,16,22.9,96360,421.82
Wed Sep 27 13:14:40 2023,2142,0,0,15,22.9,96367,420.69
Wed Sep 27 13:14:40 2023,2149,0,0,15,22.9,96373,420.95
Wed Sep 27 13:14:40 2023,2139,0,0,16,22.9,96365,421.56
Wed Sep 27 13:14:40 2023,2137,0,0,14,22.9,96374,420.52
Wed Sep 27 13:14:40 2023,2145,0,0,15,22.9,96370,420.61
Wed Sep 27 13:14:41 2023,2132,0,0,16,22.9,96368,421.13
Wed Sep 27 13:14:41 2023,2143,0,0,15,22.9,96372,421.3
Wed Sep 27 13:14:41 2023,2133,0,0,16,22.9,96364,421.13
Wed Sep 27 13:14:41 2023,2152,0,0,14,22.9,96365,421.39
Wed Sep 27 13:14:41 2023,2144,0,0,16,22.9,96363,420.87
Wed Sep 27 13:14:42 2023,2133,0,0,15,22.9,96367,420.95
Wed Sep 27 13:14:42 2023,2157,0,0,15,22.9,96369,421.3
Wed Sep 27 13:14:42 2023,2128,0,0,15,22.9,96369,420.87
Wed Sep 27 13:14:42 2023,2151,0,0,15,22.9,96372,420.87
Wed Sep 27 13:14:42 2023,2139,0,0,16,22.9,96371,420.95
Wed Sep 27 13:14:42 2023,2141,0,0,16,22.9,96375,420.61
Wed Sep 27 13:14:43 2023,2143,0,0,16,22.9,96372,421.3
Wed Sep 27 13:14:43 2023,2133,0,0,14,22.9,96371,420.78
Wed Sep 27 13:14:43 2023,2146,0,0,14,22.9,96366,421.04
Wed Sep 27 13:14:43 2023,2133,0,0,14,22.9,96370,421.13
Wed Sep 27 13:14:43 2023,2143,0,0,13,22.9,96366,421.04
Wed Sep 27 15:34:39 2023,889,0,0,0,28.1,96085,446.04
Wed Sep 27 15:34:39 2023,837,0,0,0,28.1,96080,445.0
Wed Sep 27 15:34:39 2023,1076,0,0,0,28.1,96081,445.61
Wed Sep 27 15:34:39 2023,1041,0,0,0,28.1,96081,445.52
Wed Sep 27 15:34:40 2023,0,0,0,0,28.1,96084,445.61
Wed Sep 27 15:34:40 2023,0,0,0,0,28.1,96086,445.78
Wed Sep 27 15:34:40 2023,835,0,0,0,28.1,96083,445.61
Wed Sep 27 15:34:40 2023,1074,0,0,0,28.1,96088,445.61
Wed Sep 27 15:34:40 2023,992,0,0,0,28.1,96082,445.61
Wed Sep 27 15:34:40 2023,764,0,0,0,28.1,96078,446.04
Wed Sep 27 15:34:42 2023,0,0,0,0,28.1,96084,445.7
Wed Sep 27 15:34:42 2023,0,0,0,0,28.1,96085,445.09
Wed Sep 27 15:34:42 2023,994,0,0,0,28.1,96081,446.39
Wed Sep 27 15:34:42 2023,1194,0,0,0,28.1,96083,445.52
Wed Sep 27 15:34:42 2023,1072,0,0,0,28.1,96082,445.78
Wed Sep 27 15:34:42 2023,904,0,0,0,28.1,96087,445.7
Wed Sep 27 15:34:43 2023,14,0,0,0,28.1,96079,446.22
Wed Sep 27 15:34:43 2023,0,0,0,0,28.1,96087,445.17
Wed Sep 27 15:34:43 2023,1052,0,0,0,28.1,96086,445.78
Wed Sep 27 15:34:43 2023,869,0,0,0,28.1,96085,446.04
Wed Sep 27 15:34:43 2023,1260,0,0,0,28.1,96085,445.61
Wed Sep 27 15:34:43 2023,1011,0,0,0,28.1,96083,445.87
Wed Sep 27 15:34:44 2023,0,0,0,0,28.1,96082,445.87
Wed Sep 27 15:34:44 2023,0,0,0,0,28.1,96086,445.35
Wed Sep 27 15:34:44 2023,1041,0,0,0,28.1,96082,445.96
Wed Sep 27 15:34:44 2023,974,0,0,0,28.1,96079,445.7
Wed Sep 27 15:34:44 2023,1027,0,0,0,28.1,96084,445.78
Wed Sep 27 15:34:44 2023,1073,0,0,0,28.1,96081,445.52
Wed Sep 27 15:34:45 2023,0,0,0,0,28.1,96081,446.3
Wed Sep 27 15:34:45 2023,0,0,0,0,28.1,96090,445.35
Wed Sep 27 15:34:45 2023,939,0,0,0,28.1,96083,445.78
Wed Sep 27 15:34:45 2023,833,0,0,0,28.1,96091,445.35
Wed Sep 27 15:34:45 2023,890,0,0,0,28.1,96078,446.3
Wed Sep 27 15:34:45 2023,1072,0,0,0,28.1,96086,445.7
