datetime, dust, mq135, mq131, mq4, temperature, pressure, altitude
Wed Sep 27 11:58:08 2023,2140,0,0,0,25.0,96510,408.65
Wed Sep 27 11:58:08 2023,2047,0,0,0,25.0,96509,409.08
Wed Sep 27 11:58:08 2023,2105,0,0,0,25.0,96511,408.91
Wed Sep 27 11:58:09 2023,2128,0,0,0,25.0,96512,408.39
Wed Sep 27 11:58:09 2023,2063,0,0,0,25.0,96523,408.3
Wed Sep 27 11:58:09 2023,2121,0,0,0,25.0,96513,408.82
Wed Sep 27 11:58:09 2023,2063,0,0,0,25.0,96511,408.48
Wed Sep 27 11:58:09 2023,2129,0,0,0,25.0,96511,408.48
Wed Sep 27 11:58:11 2023,2096,0,0,0,25.0,96511,408.56
Wed Sep 27 11:58:11 2023,2047,0,0,0,25.0,96516,408.39
Wed Sep 27 11:58:11 2023,2146,0,0,0,25.0,96511,408.48
Wed Sep 27 11:58:11 2023,2060,0,0,0,25.0,96518,408.39
Wed Sep 27 11:58:11 2023,2123,0,0,0,25.0,96519,408.3
Wed Sep 27 11:58:11 2023,2064,0,0,0,25.0,96519,408.3
Wed Sep 27 11:58:12 2023,2064,0,0,0,25.0,96516,408.48
Wed Sep 27 11:58:12 2023,2071,0,0,0,25.0,96518,407.87
Wed Sep 27 11:58:12 2023,2112,0,0,0,25.0,96516,408.22
Wed Sep 27 11:58:12 2023,2046,0,0,0,25.0,96515,408.3
Wed Sep 27 11:58:12 2023,2124,0,0,0,25.0,96515,408.82
Wed Sep 27 11:58:12 2023,2054,0,0,0,25.0,96519,408.04
Wed Sep 27 11:58:13 2023,2057,0,0,0,25.0,96516,408.48
Wed Sep 27 11:58:13 2023,2112,0,0,0,25.0,96515,408.39
Wed Sep 27 11:58:13 2023,2065,0,0,0,25.0,96511,408.48
Wed Sep 27 11:58:13 2023,2061,0,0,0,25.0,96514,408.65
Wed Sep 27 11:58:13 2023,2180,0,0,0,25.0,96510,408.56
Wed Sep 27 11:58:13 2023,2064,0,0,0,25.0,96513,408.91
Wed Sep 27 11:58:14 2023,2063,0,0,0,25.0,96508,408.56
Wed Sep 27 11:58:14 2023,2134,0,0,0,25.0,96513,408.48
Wed Sep 27 11:58:14 2023,2065,0,0,0,25.0,96515,408.48
Wed Sep 27 11:58:14 2023,2097,0,0,0,25.0,96517,408.39
Wed Sep 27 11:58:14 2023,2138,0,0,0,25.0,96515,408.39
Wed Sep 27 11:58:14 2023,2057,0,0,0,25.0,96516,408.56
Wed Sep 27 11:58:15 2023,2064,0,0,0,25.0,96514,408.48
Wed Sep 27 11:58:15 2023,2149,0,0,0,25.0,96513,407.96
Wed Sep 27 11:58:15 2023,2064,0,0,0,25.0,96511,409.26
Wed Sep 27 11:58:15 2023,2125,0,0,0,25.0,96511,408.39
Wed Sep 27 11:58:15 2023,2104,0,0,0,25.0,96520,408.39
Wed Sep 27 11:58:15 2023,2069,0,0,0,25.0,96517,407.96
Wed Sep 27 11:58:16 2023,2160,0,0,0,25.0,96522,408.04
Wed Sep 27 11:58:16 2023,2064,0,0,0,25.0,96519,408.48
Wed Sep 27 11:58:16 2023,2133,0,0,0,25.0,96516,408.22
Wed Sep 27 11:58:16 2023,2064,0,0,0,25.0,96517,408.04
Wed Sep 27 11:58:16 2023,2094,0,0,0,25.0,96516,408.56
Wed Sep 27 11:58:17 2023,2387,0,0,0,25.0,96513,408.56
Wed Sep 27 11:58:17 2023,2064,0,0,0,25.0,96511,408.13
Wed Sep 27 11:58:17 2023,2143,0,0,0,25.0,96512,408.65
Wed Sep 27 11:58:17 2023,2070,0,0,0,25.0,96513,408.74
Wed Sep 27 11:58:17 2023,2117,0,0,0,25.0,96512,408.48
Wed Sep 27 11:58:18 2023,2069,0,0,0,25.0,96519,409.08
Wed Sep 27 11:58:18 2023,2153,0,0,0,25.0,96511,408.48
Wed Sep 27 11:58:18 2023,2062,0,0,0,25.0,96514,408.22
Wed Sep 27 11:58:18 2023,2161,0,0,0,25.0,96512,408.56
Wed Sep 27 11:58:18 2023,2064,0,0,0,25.0,96516,408.56
Wed Sep 27 11:58:18 2023,2128,0,0,0,25.0,96516,408.39
Wed Sep 27 11:58:19 2023,2097,0,0,0,25.0,96518,408.56
